lat,lon,circletype,,,,,
39.250001,-76.500001,main,,,,,
39.300001,-76.500001,main,,,,,
39.350001,-76.500001,main,,,,,
39.400001,-76.500001,main,,,,,
39.250001,-76.550001,main,,,,,
39.300001,-76.550001,main,,,,,
39.350001,-76.550001,main,,,,,
39.400001,-76.550001,main,,,,,
39.250001,-76.600001,main,,,,,
39.300001,-76.600001,main,,,,,
39.350001,-76.600001,main,,,,,
39.400001,-76.600001,main,,,,,
39.250001,-76.650001,main,,,,,
39.300001,-76.650001,main,,,,,
39.350001,-76.650001,main,,,,,
39.400001,-76.650001,main,,,,,
39.250001,-76.700001,main,,,,,
39.300001,-76.700001,main,,,,,
39.350001,-76.700001,main,,,,,
39.400001,-76.700001,main,,,,,
39.250001,-76.750001,main,,,,,
39.300001,-76.750001,main,,,,,
39.350001,-76.750001,main,,,,,
39.400001,-76.750001,main,,,,,
39.275001,-76.525001,inner,,,,,
39.275001,-76.575001,inner,,,,,
39.275001,-76.625001,inner,,,,,
39.275001,-76.675001,inner,,,,,
39.275001,-76.725001,inner,,,,,
39.325001,-76.525001,inner,,,,,
39.325001,-76.575001,inner,,,,,
39.325001,-76.625001,inner,,,,,
39.325001,-76.675001,inner,,,,,
39.325001,-76.725001,inner,,,,,
39.375001,-76.525001,inner,,,,,
39.375001,-76.575001,inner,,,,,
39.375001,-76.625001,inner,,,,,
39.375001,-76.675001,inner,,,,,
39.375001,-76.725001,inner,,,,,